Winery,Alkohol,Gesamtsaeure,Restzucker,Rebsorte,Jahrgang,Region
,,,,,,
Schwarzenbach,13.2,5.45,1.6,Raeuschling,2022,Deutschweiz
,,,,,,
St. Jodern Kellerei,13.6,3.54,2.4,Heida,2022,Wallis
,,,,,,
Mounir Weine,13.4,3.37,2.3,Cave du Rhodan,2021,Wallis
,,,,,,
Caves du Chambleau,13.8,4.94,1.3,Pinot Noir,2021,Drei-Seen Region
,,,,,,
Grand'Cour,14,4.34,1,Cabernet Franc,2020,Genf
,,,,,,
Pircher,14.1,5.39,0.7,Pinot Noir,2020,Deutschschweiz
,,,,,,
Castello di Morcote,13.5,5.94,0.7,Merlot,2020,Tessin
,,,,,,
Wegelin,13.3,6.16,0.7,Pinot Gris,2022,Deutschschweiz
,,,,,,
Donatsch,14.8,6.52,6.4,Completer,2022,Deutschschweiz
,,,,,,
Schmidheiny,13.5,5.33,0.3,Pinot Noir,2022,Deutschschweiz
,,,,,,
Osterfingen,13,4.87,1.3,Pinot Blanc,2022,Deutschschweiz
,,,,,,
Domaine des Muses,13.4,3.01,5.2,Humagne Blanche,2022,Wallis
,,,,,,
Domaine des Muses,13.1,4.2,3.9,Humagne Blanche,2018,Wallis
,,,,,,
Domaine des Muses,13,4.4,4.2,Humagne Blanche,2015,Wallis
,,,,,,
Domaine des Muses,12.9,4.7,4.7,Humagne Blanche,2012,Wallis
,,,,,,
Domaine du Clos des Pins,13.4,4.63,0.6,Gamaret,2021,Genf
,,,,,,
Domaine du Clos des Pins,14.3,4.5,2.1,Gamaret,2018,Genf
,,,,,,
Domaine du Clos des Pins,13.7,4.1,1.1,Gamaret,2015,Genf
,,,,,,
Caves de Chambleau,13.8,4.94,1.3,Pinot Noir,2021,Drei-Seen-Region
,,,,,,
Caves du Chateau d’Auvernier ,13.2,4.72,1,Pinot Noir,2021,Drei-Seen-Region
,,,,,,
Domaine de La Maisone Carree,13.3,5.44,1,Pinot Noir,2020,Drei-Seen-Region
,,,,,,
Domaine Saint-Sebaste,11.6,5.22,0.45,Chasselas,2021,Drei-Seen-Region
,,,,,,
Cru de L'Hopital,11.4,4.48,1.7,Gewuerztraminer,2022,Drei-Seen-Region
,,,,,,
Weingut Krebs + Steiner,12.9,6.98,0.4,Chardonnay,2022,Drei-Seen-Region
,,,,,,
Gialdi Vini SA,13.8,5.36,1,Merlot,2020,Tessin
,,,,,,
Azienda Mondo,12.5,4.91,1.1,Bondola,2022,Tessin
,,,,,,
Hubervini,13.5,4.88,0.7,Merlot,2020,Tessin
,,,,,,
Zuendel Azienda Agricola SA,12.1,4.88,0.1,Merlot,2020,Tessin
,,,,,,
Moncucchetto,12.6,8.1,0.6,Chardonnay,2020,Tessin
,,,,,,
Domaine les Hutins,14.4,6.52,1.4,Sauvignon Blanc,2021,Genf
,,,,,,
Clos du Crosex Grille,12.7,4,0.6,Chasselas,2021,Waadt
,,,,,,
Château Maison Blanche SA,13,2.31,2.3,Chasselas,2022,Waadt
,,,,,,
Domaine Monachon,12.3,1.98,1.7,Chasselas,2022,Waadt
,,,,,,
Domaine Blaise Duboux,12.7,2.37,1.1,Chasselas,2022,Waadt
,,,,,,
Domaine Louis Bovard,12.8,4.7,1.5,Chasselas,2021,Waadt
,,,,,,
Domaine Henri Cruchon,13.3,4.21,0.2,Servagnin,2021,Waadt
,,,,,,
Domaine La Colombe SA,12.4,3.23,0.9,Chasselas,2022,Waadt
,,,,,,
Charles Rolaz,14,3,5.1,Syrah,2020,Waadt
,,,,,,
Les Freres Dutruy SA,13.7,3.36,1.2,Gamay,2022,Waadt
,,,,,,
Cave du Rhodan,13.4,3.37,2.3,Pinot Noir,2021,Wallis
,,,,,,
Denis Mercier SA,13.3,3.81,0.1,Cornalin,2021,Wallis
,,,,,,
Maurice Zufferey SA,14.1,4,1.6,Petite Arvine ,2022,Wallis
,,,,,,
Cave La Romaine,13.5,3.11,5.9,Humagne Rouge,2022,Wallis
,,,,,,
Provins,13.8,4.3,1.9,Petite Arvine ,2022,Wallis
,,,,,,
Domaine Cornulus SA,12.8,2.61,1,Chasselas,2022,Wallis
,,,,,,
Domaine Jean-Rene Germanier SA,13.7,6.02,2.13,Amigne,2021,Wallis
,,,,,,
Simon Maye + Fils,13.8,4.08,2.6,Syrah,2021,Wallis
,,,,,,
Benoit Dorsaz Viticulteur,13.6,3.12,1.2,Syrah,2021,Wallis
,,,,,,
La Rodeline SA,13.9,2.9,4.7,Marsanne,2022,Wallis
,,,,,,
Domaine Gerald Besse,13.7,4.9,1.9,Marsanne,2020,Wallis
,,,,,,
Weingut Jauslin,13.8,5.06,1,Pinot Noir,2022,Deutschschweiz
,,,,,,
Weingut zum Sternen,12.9,4.94,0.9,Pinot Noir,2021,Deutschschweiz
,,,,,,
Weingut Kastanienbaum AG,12.8,5.23,0.4,Pinot Noir,2021,Deutschschweiz
,,,,,,
Weingut Pircher,14.1,5.39,0.7,Pinot Noir,2020,Deutschschweiz
,,,,,,
Gasthaus + Weingut Bad Osterfingen,13,4.87,1.3,Pinot Blanc,2022,Deutschschweiz
,,,,,,
Schlossgut Bachtobel,12.5,5.78,0.2,Pinot Noir,2021,Deutschschweiz
,,,,,,
Weingut Wolfer,13.4,5.54,0.5,Pinot Noir,2021,Deutschschweiz
,,,,,,
Adank AG,12.2,6.48,2.6,Pinot Noir,2020,Deutschschweiz
,,,,,,
Christian Hermann Weinbau,13.7,5.75,0.8,Chardonnay,2022,Deutschschweiz
,,,,,,
Weingut Hermann,13.7,5.94,1.7,Completer,2022,Deutschschweiz
,,,,,,
Domaine Donatsch,14.8,6.52,6.4,Completer,2022,Deutschschweiz